GAME_ID,TEAM_ID,STAR_AVAILABLE
0012200001,1610612744,2
0012200001,1610612764,2
0012200002,1610612746,2
0012200003,1610612763,2
0012200003,1610612749,2
0012200004,1610612744,2
0012200004,1610612764,2
0012200005,1610612738,2
0012200005,1610612766,2
0012200006,1610612761,2
0012200006,1610612762,2
0012200007,1610612745,2
0012200007,1610612759,1
0012200008,1610612756,1
0012200009,1610612751,0
0012200009,1610612755,2
0012200010,1610612763,2
0012200010,1610612753,2
0012200011,1610612743,2
0012200011,1610612760,1
0012200012,1610612747,2
0012200012,1610612758,2
0012200013,1610612746,2
0012200013,1610612757,2
0012200014,1610612765,2
0012200014,1610612752,2
0012200015,1610612748,2
0012200015,1610612750,2
0012200016,1610612741,2
0012200016,1610612740,1
0012200017,1610612757,2
0012200017,1610612762,2
0012200018,1610612766,2
0012200018,1610612754,2
0012200019,1610612739,2
0012200019,1610612755,2
0012200020,1610612738,2
0012200020,1610612761,2
0012200021,1610612742,1
0012200021,1610612760,2
0012200022,1610612747,2
0012200022,1610612756,1
0012200023,1610612737,2
0012200023,1610612749,2
0012200024,1610612751,0
0012200024,1610612748,2
0012200025,1610612760,2
0012200026,1610612753,2
0012200026,1610612759,2
0012200027,1610612757,2
0012200028,1610612747,2
0012200028,1610612750,2
0012200029,1610612738,2
0012200029,1610612766,2
0012200030,1610612754,2
0012200030,1610612752,2
0012200031,1610612741,2
0012200031,1610612743,1
0012200032,1610612745,2
0012200032,1610612761,1
0012200033,1610612763,2
0012200033,1610612748,2
0012200034,1610612765,2
0012200034,1610612740,2
0012200035,1610612742,1
0012200035,1610612753,2
0012200036,1610612737,2
0012200036,1610612749,2
0012200037,1610612741,2
0012200037,1610612761,2
0012200038,1610612760,1
0012200039,1610612740,2
0012200039,1610612759,0
0012200040,1610612744,2
0012200040,1610612747,2
0012200041,1610612757,2
0012200041,1610612758,2
0012200042,1610612746,2
0012200042,1610612750,2
0012200043,1610612766,2
0012200043,1610612764,2
0012200044,1610612739,2
0012200044,1610612755,2
0012200045,1610612745,2
0012200045,1610612748,2
0012200046,1610612743,2
0012200046,1610612756,1
0012200047,1610612765,2
0012200047,1610612760,2
0012200048,1610612763,2
0012200048,1610612753,2
0012200049,1610612741,0
0012200049,1610612749,0
0012200050,1610612759,2
0012200050,1610612762,2
0012200051,1610612744,2
0012200051,1610612757,2
0012200052,1610612737,2
0012200052,1610612739,2
0012200053,1610612754,1
0012200053,1610612752,2
0012200054,1610612766,1
0012200054,1610612755,2
0012200055,1610612748,2
0012200055,1610612740,2
0012200056,1610612751,0
0012200056,1610612749,2
0012200057,1610612747,2
0012200057,1610612750,2
0012200058,1610612756,1
0012200058,1610612758,2
0012200059,1610612743,2
0012200059,1610612746,2
0012200060,1610612765,2
0012200060,1610612763,2
0012200061,1610612760,2
0012200061,1610612759,2
0012200062,1610612745,2
0012200062,1610612754,1
0012200063,1610612739,2
0012200063,1610612753,2
0012200064,1610612738,2
0012200064,1610612761,2
0012200065,1610612752,2
0012200065,1610612764,2
0012200066,1610612751,0
0012200066,1610612750,2
0012200067,1610612737,2
0012200067,1610612740,2
0012200068,1610612742,1
0012200068,1610612762,2
0012200069,1610612743,2
0012200069,1610612744,2
0012200070,1610612747,2
0012200070,1610612758,2
0022200001,1610612738,2
0022200001,1610612755,2
0022200002,1610612744,2
0022200002,1610612747,2
0022200003,1610612765,2
0022200003,1610612753,2
0022200004,1610612754,2
0022200004,1610612764,2
0022200005,1610612737,2
0022200005,1610612745,2
0022200006,1610612751,0
0022200006,1610612740,2
0022200007,1610612741,1
0022200007,1610612748,2
0022200008,1610612739,2
0022200008,1610612761,2
0022200009,1610612763,2
0022200009,1610612752,2
0022200010,1610612750,2
0022200010,1610612760,2
0022200011,1610612766,1
0022200011,1610612759,2
0022200012,1610612743,2
0022200012,1610612762,2
0022200013,1610612742,1
0022200013,1610612756,1
0022200014,1610612757,2
0022200014,1610612758,2
0022200015,1610612749,2
0022200015,1610612755,2
0022200016,1610612746,2
0022200016,1610612747,2
0022200017,1610612766,1
0022200017,1610612740,2
0022200018,1610612754,2
0022200018,1610612759,2
0022200019,1610612741,1
0022200019,1610612764,2
0022200020,1610612737,2
0022200020,1610612753,2
0022200021,1610612751,0
0022200021,1610612761,2
0022200022,1610612738,2
0022200022,1610612748,2
0022200023,1610612765,2
0022200023,1610612752,2
0022200024,1610612745,2
0022200024,1610612763,2
0022200025,1610612750,2
0022200025,1610612762,2
0022200026,1610612743,1
0022200026,1610612744,2
0022200027,1610612756,1
0022200027,1610612757,2
0022200028,1610612755,2
0022200028,1610612759,2
0022200029,1610612765,2
0022200029,1610612754,1
0022200030,1610612738,2
0022200030,1610612753,2
0022200031,1610612748,2
0022200031,1610612761,2
0022200032,1610612741,2
0022200032,1610612739,1
0022200033,1610612745,2
0022200033,1610612749,2
0022200034,1610612742,1
0022200034,1610612763,2
0022200035,1610612743,2
0022200035,1610612760,2
0022200036,1610612746,1
0022200036,1610612758,2
0022200037,1610612747,2
0022200037,1610612757,2
0022200038,1610612737,2
0022200038,1610612766,0
0022200039,1610612739,1
0022200039,1610612764,2
0022200040,1610612740,2
0022200040,1610612762,2
0022200041,1610612750,2
0022200041,1610612760,2
0022200042,1610612744,2
0022200042,1610612758,2
0022200043,1610612746,2
0022200043,1610612756,1
0022200044,1610612754,2
0022200044,1610612755,2
0022200045,1610612748,2
0022200045,1610612761,2
0022200046,1610612752,2
0022200046,1610612753,2
0022200047,1610612738,2
0022200047,1610612741,2
0022200048,1610612745,2
0022200048,1610612762,2
0022200049,1610612751,0
0022200049,1610612763,2
0022200050,1610612750,2
0022200050,1610612759,2
0022200051,1610612743,2
0022200051,1610612757,2
0022200052,1610612765,2
0022200052,1610612764,2
0022200053,1610612742,1
0022200053,1610612740,0
0022200054,1610612746,0
0022200054,1610612760,1
0022200055,1610612744,2
0022200055,1610612756,1
0022200056,1610612739,1
0022200056,1610612753,2
0022200057,1610612737,2
0022200057,1610612765,2
0022200058,1610612766,0
0022200058,1610612752,2
0022200059,1610612755,2
0022200059,1610612761,2
0022200060,1610612751,0
0022200060,1610612749,2
0022200061,1610612741,2
0022200061,1610612754,2
